Latitude,Longitude,Stop Name,Stop Status
40.794346,-73.970154,AMSTERDAM AV/W 96 ST,at stop
40.804335,-73.955168,W 116 ST/FRED DOUGLASS BL,at stop
40.767754,-73.982238,COLUMBUS CIR/8 AV,at stop
40.737446,-73.996775,N/A,N/A
40.75505,-73.983965,AV OF THE AMERICAS/W 42 ST,at stop
40.803723,-73.94854,MALCOLM X B / W 119 ST,at stop
40.802138,-73.949509,MALCOLM X BL / W 116 ST,at stop
40.784447,-73.977377,AMSTERDAM AV/W 81 ST,approaching
40.821348,-73.936316,146 ST/LENOX AV,approaching
40.772779,-73.982179,BROADWAY/W 64 ST,approaching
40.820976,-73.935837,MALCOLM X BL/W 145 ST,approaching
40.821063,-73.935774,MALCOLM X BL/W 145 ST,approaching
40.812801,-73.941708,MALCOLM X BL/W 135 ST,approaching
40.751778,-73.990046,7 AV/W 34 ST,approaching
40.799805,-73.964213,W 106 ST/COLUMBUS AV,< 1 stop away
40.741286,-73.993978,AV OF THE AMERICAS/W 23 ST,< 1 stop away
40.793025,-73.967399,COLUMBUS AV/W 94 ST,< 1 stop away
